TERM,COURSE,ENRL,MEDIAN
11W,AAAS-011-01,13,B+
11W,AAAS-014-01,15,A-
11W,AAAS-016-01,16,A-/B+
11W,AAAS-024-01,12,B+
11W,AAAS-025-01,36,B+
11W,AAAS-046-01,25,B+
11W,AAAS-054-01,10,A
11W,AAAS-080-01,11,A-
11W,AMEL-007-01,16,A-
11W,AMES-004-01,47,A-
11W,AMES-009-01,42,B+
11W,AMES-012-01,49,A
11W,AMES-025-01,16,A
11W,AMES-027-90,14,A
11W,AMES-028-90,14,A
11W,AMES-029-90,14,A
11W,AMES-030-01,36,A/A-
11W,AMES-040-01,29,A-
11W,AMES-045-01,13,A
11W,ANTH-003-01,62,B+
11W,ANTH-006-01,55,B
11W,ANTH-007-01,16,B+
11W,ANTH-017-01,31,B+
11W,ANTH-021-01,33,B
11W,ANTH-033-01,11,A-
11W,ANTH-043-01,12,B+
11W,ANTH-044-01,24,A-
11W,ANTH-048-01,10,A-
11W,ANTH-049-01,20,B
11W,ANTH-051-90,20,B+
11W,ANTH-052-90,15,B+
11W,ANTH-054-90,15,B+
11W,ANTH-073-01,25,A-
11W,ARAB-002-01,13,A
11W,ARAB-002-02,12,A-
11W,ARAB-010-01,47,A-
11W,ARAB-022-01,11,A-
11W,ARTH-002-01,57,B+
11W,ARTH-016-02,26,B+
11W,ARTH-020-01,19,A-
11W,ARTH-021-01,10,A-/B+
11W,ARTH-063-01,15,B+
11W,ARTH-067-01,13,A
11W,ASTR-025-01,10,A-/B+
11W,BIOL-011-01,61,B
11W,BIOL-013-01,116,B
11W,BIOL-014-01,43,B+
11W,BIOL-015-01,24,B+/B
11W,BIOL-027-01,11,A
11W,BIOL-029-01,20,B+
11W,BIOL-045-01,34,B+
11W,BIOL-047-01,10,B+
11W,BIOL-055-90,15,A-
11W,BIOL-056-90,15,A-
11W,BIOL-057-90,15,A-
11W,BIOL-066-01,24,B+
11W,BIOL-078-01,32,A-
11W,BIOL-095-01,11,A
11W,BIOL-097-01,13,A
11W,BIOL-128-01,20,B+
11W,BIOL-166-01,24,B+
11W,CHEM-005-01,96,B
11W,CHEM-005-02,121,B
11W,CHEM-052-01,70,B
11W,CHEM-058-01,24,A-/B+
11W,CHEM-064-01,32,B+
11W,CHEM-075-01,27,B+
11W,CHIN-002-01,13,A-
11W,CHIN-002-02,13,A
11W,CHIN-002-03,13,A-
11W,CHIN-010-01,49,A
11W,CHIN-022-02,14,A-
11W,CHIN-032-01,12,A
11W,CHIN-062-01,12,A-
11W,CLST-001-01,53,B+
11W,CLST-011-01,25,B+
11W,CLST-017-01,26,B
11W,CLST-019-01,13,B
11W,CLST-022-01,22,B+
11W,CLST-040-01,14,A-
11W,COCO-001-01,60,A-/B+
11W,COLT-007-01,16,B+
11W,COLT-010-01,10,A-
11W,COLT-019-01,14,A-
11W,COLT-040-01,13,A-
11W,COSC-002-01,23,A
11W,COSC-008-01,28,B+
11W,COSC-019-01,24,B
11W,COSC-023-01,18,A-
11W,COSC-032-01,17,A
11W,COSC-039-01,22,B+
11W,COSC-097-01,13,A
11W,EARS-002-01,62,A
11W,EARS-007-01,15,A
11W,EARS-009-01,27,A-
11W,EARS-015-01,10,A-
11W,EARS-066-01,12,A-/B+
11W,EARS-166-01,12,A-/B+
11W,ECON-001-01,72,B
11W,ECON-001-02,72,B
11W,ECON-001-03,86,B
11W,ECON-001-04,86,B
11W,ECON-010-01,42,B+
11W,ECON-010-02,42,B+
11W,ECON-020-01,72,B
11W,ECON-020-02,72,B
11W,ECON-021-01,49,B+
11W,ECON-021-02,49,B+
11W,ECON-022-01,65,B+
11W,ECON-022-02,65,B+
11W,ECON-022-03,65,B+
11W,ECON-022-04,65,B+
11W,ECON-025-01,50,B
11W,ECON-025-02,50,B
11W,ECON-026-01,41,B+
11W,ECON-026-02,41,B+
11W,ECON-029-01,39,B+
11W,ECON-036-01,48,B+
11W,ECON-036-02,48,B+
11W,ECON-039-01,73,B+
11W,ECON-039-02,73,B+
11W,ECON-044-01,20,A-
11W,ECON-044-02,20,A-
11W,ECON-046-01,23,A-
11W,ECON-046-02,23,A-
11W,ECON-048-01,21,B+
11W,ECON-048-02,21,B+
11W,ECON-049-01,26,B+
11W,ECON-049-02,26,B+
11W,EDUC-029-01,31,A-
11W,EDUC-058-01,23,A-
11W,EDUC-064-01,28,B
11W,EDUC-088-01,13,B+
11W,ENGL-007-01,16,B+
11W,ENGL-007-02,15,A
11W,ENGL-007-03,14,B+
11W,ENGL-007-04,16,B+
11W,ENGL-012-01,13,A-
11W,ENGL-015-01,16,A-/B+
11W,ENGL-021-01,12,A-
11W,ENGL-036-01,17,A-
11W,ENGL-038-01,20,B+
11W,ENGL-041-01,14,B+
11W,ENGL-042-01,180,A-
11W,ENGL-046-01,56,B+
11W,ENGL-060-01,23,A
11W,ENGL-060-02,13,A-
11W,ENGL-060-03,12,A-
11W,ENGL-060-04,15,A
11W,ENGL-063-01,27,B
11W,ENGL-067-03,75,A-
11W,ENGL-080-01,12,A
11W,ENGL-083-01,10,B+
11W,ENGL-085-01,10,A-
11W,ENGS-001-01,34,A-
11W,ENGS-002-01,24,A-
11W,ENGS-012-01,23,A-
11W,ENGS-012-02,21,A
11W,ENGS-020-01,18,B+
11W,ENGS-021-01,33,A
11W,ENGS-022-01,75,B+
11W,ENGS-024-01,26,B+/B
11W,ENGS-027-01,51,A-
11W,ENGS-032-01,21,B+
11W,ENGS-034-01,18,B+
11W,ENGS-044-01,11,B+
11W,ENGS-052-01,13,B+
11W,ENGS-062-01,17,A
11W,ENGS-066-01,24,B
11W,ENGS-090-01,38,A-
11W,ENGS-093-01,15,B
11W,ENVS-001-01,31,B+
11W,ENVS-007-01,16,A-
11W,ENVS-016-01,21,A-
11W,ENVS-020-01,19,B+
11W,ENVS-055-01,30,A-/B+
11W,ENVS-065-01,29,A
11W,FILM-021-01,22,A-
11W,FILM-033-01,14,A-/B+
11W,FILM-036-01,10,A-
11W,FILM-040-01,16,A-
11W,FILM-041-01,26,B+
11W,FILM-041-02,40,A/A-
11W,FILM-046-01,20,A-
11W,FILM-050-01,11,B+
11W,FREN-001-01,13,A-
11W,FREN-001-02,12,A-/B+
11W,FREN-002-01,14,A/A-
11W,FREN-002-02,20,A-/B+
11W,FREN-002-03,16,A-
11W,FREN-003-01,18,A-/B+
11W,FREN-003-02,14,A/A-
11W,FREN-003-92,14,A
11W,FREN-005-92,14,A-
11W,FREN-006-92,14,A-
11W,FREN-008-01,16,A-
11W,FREN-008-90,14,A
11W,FREN-010-01,16,A-
11W,FREN-010-90,14,A-
11W,FREN-012-90,14,A-
11W,FREN-029-90,19,A-
11W,FREN-030-90,19,A-
11W,FREN-031-90,19,A
11W,GEOG-001-01,78,A-
11W,GEOG-002-01,39,A-
11W,GEOG-005-01,42,B
11W,GEOG-007-01,16,B+
11W,GEOG-013-01,36,A-
11W,GEOG-022-01,45,B+
11W,GEOG-043-01,11,A-
11W,GERM-001-01,17,A-
11W,GERM-002-02,13,A-
11W,GOVT-003-01,49,B+
11W,GOVT-004-01,31,A-
11W,GOVT-005-01,100,B+
11W,GOVT-005-02,100,B+
11W,GOVT-006-01,39,B+
11W,GOVT-007-01,15,A-
11W,GOVT-007-02,16,A-
11W,GOVT-010-01,40,B+
11W,GOVT-025-01,10,B+
11W,GOVT-030-01,29,B+
11W,GOVT-030-02,11,B+
11W,GOVT-040-01,25,A-
11W,GOVT-050-01,32,B+
11W,GOVT-050-02,32,A-/B+
11W,GOVT-050-03,36,A-
11W,GOVT-054-01,37,B+
11W,GOVT-060-01,19,B+
11W,GOVT-063-01,20,A-
11W,GOVT-066-01,32,B+
11W,GOVT-081-02,14,A-/B+
11W,GOVT-081-04,12,A-
11W,GOVT-083-02,21,A-
11W,GOVT-085-19,15,B+
11W,GOVT-085-22,21,A-
11W,GOVT-086-01,15,A-
11W,HIST-005-01,15,A-
11W,HIST-006-03,11,A-
11W,HIST-007-01,15,B+
11W,HIST-007-02,16,A-
11W,HIST-007-03,16,B+
11W,HIST-010-01,17,A-
11W,HIST-021-01,17,B+
11W,HIST-024-01,24,B+
11W,HIST-027-01,19,B+
11W,HIST-037-01,12,B+
11W,HIST-042-01,32,A-
11W,HIST-043-01,15,A-
11W,HIST-045-01,34,A-/B+
11W,HIST-051-01,10,B+
11W,HIST-064-01,22,B+
11W,HIST-067-01,25,B+
11W,HIST-073-01,12,A-
11W,HIST-076-01,19,B+
11W,HIST-089-01,17,A-
11W,HIST-094-05,26,B
11W,HIST-094-07,13,B
11W,HIST-094-09,14,A
11W,HIST-096-01,15,A-
11W,HIST-096-05,18,B+
11W,HIST-099-01,20,A
11W,HUM-002-02,15,A-
11W,HUM-002-03,13,A-
11W,HUM-002-04,13,A-
11W,INTS-018-01,39,A-
11W,ITAL-001-01,14,A-
11W,ITAL-001-02,10,A/A-
11W,ITAL-001-03,12,A/A-
11W,ITAL-002-02,10,A-
11W,ITAL-003-01,15,A-
11W,ITAL-007-01,16,A/A-
11W,ITAL-008-90,16,A-
11W,ITAL-010-90,16,A-/B+
11W,ITAL-012-90,16,A-
11W,JAPN-002-02,14,A
11W,JWST-007-01,16,B+
11W,JWST-011-01,14,A
11W,JWST-062-01,17,A
11W,LACS-004-01,16,A-/B+
11W,LACS-007-01,16,A-
11W,LACS-042-01,33,B
11W,LAT-001-01,18,B+
11W,LAT-003-01,18,A-/B+
11W,LAT-003-02,12,B-
11W,LAT-003-03,13,A
11W,LAT-020-01,14,B+
11W,LATS-044-01,11,A-
11W,LING-010-01,23,A-
11W,LING-021-01,27,A
11W,LING-027-01,14,A-
11W,MATH-002-01,32,B-
11W,MATH-002-02,32,B-
11W,MATH-003-01,41,B-
11W,MATH-004-01,25,A-
11W,MATH-005-01,31,B+
11W,MATH-007-01,14,A-
11W,MATH-007-02,16,A
11W,MATH-008-01,74,B
11W,MATH-008-02,74,B
11W,MATH-008-03,74,B
11W,MATH-013-01,65,B+
11W,MATH-013-02,65,B+
11W,MATH-017-01,10,A-
11W,MATH-019-01,24,B
11W,MATH-023-01,58,A-/B+
11W,MATH-024-02,25,B+
11W,MATH-027-01,25,A-
11W,MATH-028-01,33,B
11W,MATH-035-01,25,B
11W,MATH-050-01,12,B
11W,MATH-063-01,18,A/A-
11W,MATH-069-01,10,A-
11W,MATH-076-01,14,A-
11W,MUS-004-01,36,A/A-
11W,MUS-006-01,53,B+
11W,MUS-020-01,12,A
11W,MUS-022-01,17,A-
11W,MUS-045-01,13,A
11W,MUS-051-01,27,A
11W,NAS-022-01,45,A
11W,NAS-032-01,75,A-
11W,NAS-034-01,23,A
11W,NAS-081-01,18,B+
11W,PBPL-005-01,91,B+
11W,PBPL-048-01,12,A-
11W,PBPL-081-02,12,A-
11W,PBPL-081-05,14,A-
11W,PBPL-081-09,21,A-
11W,PBPL-082-02,10,A/A-
11W,PBPL-091-01,13,A
11W,PHIL-006-01,18,A
11W,PHIL-008-01,40,B+
11W,PHIL-017-01,36,B+
11W,PHIL-023-01,10,B+
11W,PHIL-024-01,43,B+
11W,PHIL-031-01,12,B+
11W,PHIL-080-01,11,A-
11W,PHYS-004-01,66,B+
11W,PHYS-013-01,61,B+
11W,PHYS-013-02,46,B+
11W,PHYS-014-01,49,A-
11W,PHYS-016-01,21,A-
11W,PHYS-041-01,21,A-
11W,PHYS-048-01,21,B+
11W,PORT-009-01,10,B+/B
11W,PSYC-001-01,78,B/B-
11W,PSYC-006-01,139,A-
11W,PSYC-007-01,16,A-
11W,PSYC-023-01,149,B+
11W,PSYC-025-01,87,A
11W,PSYC-026-01,50,A-
11W,PSYC-043-01,82,A-
11W,PSYC-050-01,21,B+
11W,PSYC-050-02,19,A-
11W,PSYC-051-02,21,A-
11W,PSYC-060-01,19,A
11W,PSYC-081-01,16,A-
11W,PSYC-083-01,15,A-
11W,PSYC-091-01,14,A
11W,REL-001-01,45,B+
11W,REL-007-01,16,A
11W,REL-009-01,42,B+
11W,REL-019-01,60,A-/B+
11W,REL-023-01,17,A
11W,REL-032-01,13,A-
11W,REL-035-01,13,A-
11W,REL-048-01,35,A-
11W,RUSS-002-01,15,A-
11W,RUSS-010-01,45,A
11W,SART-015-01,17,A-
11W,SART-015-02,16,A/A-
11W,SART-015-03,11,A-
11W,SART-016-01,13,A-
11W,SART-016-02,12,A/A-
11W,SART-022-01,14,A
11W,SART-025-01,13,A-
11W,SART-029-01,12,A-
11W,SART-076-01,12,A-
11W,SART-076-02,11,A
11W,SOCY-002-01,68,B+/B
11W,SOCY-010-01,34,A-/B+
11W,SOCY-015-01,27,A-
11W,SOCY-028-01,62,B+
11W,SOCY-046-01,36,B+
11W,SOCY-049-04,16,A
11W,SOCY-049-09,15,B+
11W,SOCY-050-01,41,B+
11W,SOCY-055-01,14,A-
11W,SOCY-067-01,10,A/A-
11W,SOCY-091-01,18,B+
11W,SPAN-001-01,18,A-
11W,SPAN-001-02,22,A-
11W,SPAN-002-01,20,B+/B
11W,SPAN-002-02,17,A-
11W,SPAN-002-03,19,A-
11W,SPAN-002-04,19,A-
11W,SPAN-003-01,19,A-
11W,SPAN-003-02,23,A-
11W,SPAN-003-03,23,A-
11W,SPAN-003-90,13,A-
11W,SPAN-003-91,17,B+
11W,SPAN-005-90,13,A
11W,SPAN-005-91,17,A-
11W,SPAN-006-90,13,A
11W,SPAN-006-91,17,A-
11W,SPAN-007-01,16,A
11W,SPAN-009-01,16,A-
11W,SPAN-009-02,23,A-
11W,SPAN-009-03,16,A
11W,SPAN-010-01,24,A
11W,SPAN-010-02,24,A
11W,SPAN-031-01,22,A-
11W,SPAN-037-01,20,A-
11W,SPAN-053-01,11,A-
11W,SPAN-080-01,12,A-
11W,SPEE-020-01,13,A-
11W,THEA-007-01,16,A-
11W,THEA-007-02,15,A-
11W,THEA-010-01,16,A
11W,THEA-010-02,16,A
11W,THEA-023-01,10,A
11W,THEA-026-01,12,A
11W,THEA-030-01,12,A
11W,THEA-031-01,14,A
11W,THEA-040-01,12,A
11W,THEA-042-01,14,A
11W,THEA-044-01,12,A/A-
11W,TUCK-001-01,54,B+
11W,TUCK-001-02,51,B
11W,WGST-010-01,36,A
11W,WGST-015-01,15,A-
11W,WGST-022-01,32,A-
11W,WGST-023-01,19,B+
11W,WGST-033-01,36,B+
11W,WGST-043-05,35,A-
11W,WGST-056-01,20,A-
11W,WGST-056-08,40,A/A-
11W,WGST-059-03,16,A
11W,WRIT-003-01,16,A
11W,WRIT-003-02,14,A-
11W,WRIT-003-03,16,A
11W,WRIT-003-04,16,A-/B+
11W,WRIT-003-05,15,B+
11W,WRIT-003-06,16,A-
11W,WRIT-003-07,16,A-
11W,WRIT-005-01,18,A-
11W,WRIT-005-02,17,B+
11W,WRIT-005-03,18,B+
11W,WRIT-005-04,16,A-
11W,WRIT-005-05,18,B+
11W,WRIT-005-06,18,A-
11W,WRIT-005-07,18,A-
11W,WRIT-005-08,17,A
11W,WRIT-005-09,12,A-/B+
11W,WRIT-005-10,16,A-
11W,WRIT-005-11,15,A-
11W,WRIT-005-12,18,B+
11W,WRIT-005-13,18,A-/B+
11W,WRIT-005-14,18,A
11W,WRIT-005-15,18,A-
11W,WRIT-005-16,18,A-
11W,WRIT-005-17,17,B+
11W,WRIT-005-18,18,A-
11W,WRIT-005-19,18,A-
11W,WRIT-005-20,18,A-/B+
11W,WRIT-005-21,18,A-
12W,AAAS-013-01,15,B+
12W,AAAS-025-01,20,B+
12W,AAAS-026-01,14,A-
12W,AAAS-031-01,10,A
12W,AAAS-035-01,14,A-/B+
12W,AAAS-040-01,20,A-
12W,AAAS-054-01,24,A
12W,AAAS-083-04,16,A-
12W,AMEL-007-01,16,A
12W,AMES-004-01,42,A-
12W,AMES-010-01,51,B+
12W,AMES-025-01,23,A
12W,AMES-030-01,25,A-
12W,AMES-035-01,13,A-
12W,AMES-039-01,35,A-
12W,AMES-045-01,26,A
12W,AMES-091-01,15,B+
12W,ANTH-003-01,69,B+
12W,ANTH-007-01,16,A/A-
12W,ANTH-011-01,33,B
12W,ANTH-020-01,64,B
12W,ANTH-022-01,19,B+
12W,ANTH-023-01,14,A-
12W,ANTH-039-01,14,A-
12W,ANTH-043-01,15,B
12W,ANTH-050-04,19,A
12W,ANTH-051-90,20,A-
12W,ANTH-052-90,15,A
12W,ANTH-054-90,15,A
12W,ANTH-077-01,15,B+
12W,ARAB-002-01,17,A
12W,ARAB-002-02,11,A
12W,ARAB-010-01,42,A-
12W,ARAB-022-01,11,A-
12W,ARAB-062-01,20,A
12W,ARAB-081-01,13,A
12W,ARTH-002-01,63,B+
12W,ARTH-007-01,15,A-
12W,ARTH-016-01,19,A
12W,ARTH-025-01,13,A-
12W,ARTH-043-01,10,A-
12W,ARTH-065-01,25,B+
12W,ASTR-025-01,10,A-/B+
12W,BIOL-007-01,12,A-/B+
12W,BIOL-009-01,67,B
12W,BIOL-011-01,67,B
12W,BIOL-013-01,95,B
12W,BIOL-014-01,64,B
12W,BIOL-015-01,26,A-
12W,BIOL-029-01,27,B+
12W,BIOL-042-01,34,B
12W,BIOL-045-01,22,B+
12W,BIOL-055-90,13,A-
12W,BIOL-056-90,13,A-
12W,BIOL-057-90,13,A-
12W,BIOL-066-01,18,B+
12W,BIOL-078-01,33,A-
12W,BIOL-097-01,16,A
12W,BIOL-128-01,27,B+
12W,BIOL-166-01,18,B+
12W,CHEM-005-01,97,B
12W,CHEM-005-02,57,B
12W,CHEM-007-01,16,A
12W,CHEM-009-01,67,B
12W,CHEM-052-01,72,B
12W,CHEM-058-01,24,A-
12W,CHEM-064-01,19,B+
12W,CHEM-075-01,26,B+
12W,CHIN-002-01,12,A-
12W,CHIN-002-03,12,A
12W,CHIN-022-01,17,A-
12W,CHIN-022-02,22,A-
12W,CHIN-042-01,10,A-
12W,CLST-001-01,41,A-
12W,CLST-011-01,12,B+
12W,CLST-018-01,35,B
12W,CLST-040-01,12,A-
12W,COCO-012-01,15,A-
12W,COGS-044-01,13,A
12W,COLT-019-01,12,A-
12W,COLT-035-01,20,A
12W,COLT-050-01,13,A
12W,COLT-070-01,10,A
12W,COSC-001-01,83,A-
12W,COSC-010-01,58,B+
12W,COSC-024-01,16,A
12W,COSC-030-01,27,B+
12W,COSC-031-01,18,B+
12W,COSC-050-01,12,A
12W,COSC-076-01,13,A
12W,COSC-099-01,15,A
12W,EARS-002-01,167,A-
12W,EARS-007-01,13,B+
12W,EARS-009-01,11,A-
12W,EARS-015-01,13,A-
12W,EARS-051-01,10,A
12W,ECON-001-01,85,B
12W,ECON-001-02,85,B
12W,ECON-001-03,73,B-
12W,ECON-001-04,73,B-
12W,ECON-001-05,24,B+
12W,ECON-001-06,24,B+
12W,ECON-010-01,45,B+
12W,ECON-010-02,45,B+
12W,ECON-020-01,67,B
12W,ECON-020-02,67,B
12W,ECON-021-01,32,B+
12W,ECON-021-02,32,B+
12W,ECON-021-03,65,B+
12W,ECON-021-04,65,B+
12W,ECON-022-01,21,B
12W,ECON-022-02,64,B+
12W,ECON-022-03,64,B+
12W,ECON-025-01,59,B
12W,ECON-025-02,59,B
12W,ECON-026-01,36,B+
12W,ECON-026-02,36,B+
12W,ECON-029-01,37,B+
12W,ECON-036-01,44,A-
12W,ECON-036-02,44,A-
12W,ECON-039-01,65,B+
12W,ECON-039-02,65,B+
12W,ECON-044-01,21,A-
12W,ECON-044-02,21,A-
12W,ECON-046-01,28,A-
12W,ECON-046-02,28,A-
12W,ECON-048-01,19,A-
12W,ECON-048-02,19,A-
12W,ECON-049-01,20,A-/B+
12W,ECON-049-02,20,A-/B+
12W,ECON-082-01,10,A
12W,EDUC-029-01,20,A-/B+
12W,EDUC-056-01,14,B+
12W,EDUC-058-01,26,B+
12W,EDUC-064-01,26,B+
12W,EDUC-088-01,14,B+
12W,ENGL-007-02,15,A-
12W,ENGL-007-03,13,A-
12W,ENGL-007-04,10,A-/B+
12W,ENGL-015-01,21,A-
12W,ENGL-017-01,14,B+/B
12W,ENGL-019-01,30,A-
12W,ENGL-032-01,17,A
12W,ENGL-038-01,18,A-/B+
12W,ENGL-044-01,11,A-
12W,ENGL-049-01,14,A-/B+
12W,ENGL-060-04,39,A
12W,ENGL-062-01,30,B+
12W,ENGL-063-01,23,B
12W,ENGL-065-02,23,A
12W,ENGL-066-01,16,B+
12W,ENGL-067-03,62,A
12W,ENGL-072-03,14,A-
12W,ENGL-072-04,11,A-
12W,ENGL-080-01,12,A-
12W,ENGL-080-02,12,A-
12W,ENGL-083-01,11,A-
12W,ENGS-001-01,20,A-
12W,ENGS-002-01,20,A
12W,ENGS-008-01,44,A
12W,ENGS-012-01,19,A
12W,ENGS-012-02,18,A/A-
12W,ENGS-020-01,23,B+
12W,ENGS-021-01,38,A
12W,ENGS-022-01,78,B+
12W,ENGS-024-01,25,B+
12W,ENGS-027-01,48,A-
12W,ENGS-032-01,34,A-
12W,ENGS-034-01,20,A-/B+
12W,ENGS-043-01,12,A-
12W,ENGS-044-01,23,A-
12W,ENGS-065-01,12,A/A-
12W,ENGS-066-01,27,B+
12W,ENGS-090-01,22,A
12W,ENGS-093-01,17,A-
12W,ENGS-142-01,12,A
12W,ENVS-001-01,39,B+
12W,ENVS-007-01,16,A
12W,ENVS-012-01,32,A-
12W,ENVS-016-01,10,A
12W,ENVS-020-01,20,B
12W,ENVS-055-01,37,A-
12W,ENVS-065-01,24,A
12W,FILM-031-01,12,A
12W,FILM-033-01,15,A-
12W,FILM-043-01,13,B+
12W,FREN-001-01,15,A-
12W,FREN-002-01,13,A-
12W,FREN-002-02,16,A-/B+
12W,FREN-003-01,21,A-
12W,FREN-003-02,12,A-
12W,FREN-003-92,15,A
12W,FREN-005-92,15,A-
12W,FREN-006-92,15,A-
12W,FREN-007-01,16,A-
12W,FREN-008-01,17,A-
12W,FREN-008-90,17,A-
12W,FREN-010-01,18,A
12W,FREN-010-90,17,A-
12W,FREN-012-90,17,A-
12W,FREN-021-01,14,A
12W,FREN-029-90,16,B+
12W,FREN-030-90,16,A-/B+
12W,FREN-031-90,16,A-
12W,FREN-075-01,11,B+
12W,FREN-078-01,10,A
12W,GEOG-001-01,54,A-/B+
12W,GEOG-002-01,42,A-
12W,GEOG-005-01,17,B
12W,GEOG-006-01,45,A-
12W,GEOG-007-01,15,A
12W,GEOG-011-01,16,A/A-
12W,GEOG-022-01,43,A-
12W,GEOG-023-01,31,A-
12W,GEOG-024-01,21,B+
12W,GEOG-028-01,32,A-/B+
12W,GERM-002-01,17,A-
12W,GOVT-003-01,16,A-/B+
12W,GOVT-005-01,93,B+
12W,GOVT-005-02,93,B+
12W,GOVT-005-03,44,B+
12W,GOVT-006-01,44,B+
12W,GOVT-007-01,17,A-
12W,GOVT-007-03,12,A-
12W,GOVT-010-01,30,B+/B
12W,GOVT-010-02,19,B+
12W,GOVT-020-03,11,A-
12W,GOVT-030-01,30,A-
12W,GOVT-030-02,20,B+
12W,GOVT-035-01,18,B+
12W,GOVT-040-01,14,A-
12W,GOVT-050-01,35,B+
12W,GOVT-050-02,38,A-/B+
12W,GOVT-052-01,31,B+
12W,GOVT-054-01,31,B+
12W,GOVT-061-01,26,A-
12W,GOVT-067-01,16,A-/B+
12W,GOVT-081-02,12,A-/B+
12W,GOVT-083-04,16,A-
12W,GOVT-083-19,20,A-
12W,GOVT-084-26,15,A
12W,GOVT-085-19,13,A-
12W,GOVT-085-22,15,A-
12W,GOVT-086-03,17,B+
12W,GOVT-086-18,15,B+
12W,HIST-006-01,24,A-
12W,HIST-006-02,16,A-
12W,HIST-006-03,23,A-
12W,HIST-007-01,15,B+
12W,HIST-008-01,13,A-
12W,HIST-012-01,23,B+
12W,HIST-017-01,15,B+
12W,HIST-023-01,21,A-
12W,HIST-038-01,39,A-
12W,HIST-043-01,23,A-
12W,HIST-046-01,35,B+
12W,HIST-052-01,38,B+
12W,HIST-064-01,15,B+
12W,HIST-087-01,13,B+
12W,HIST-094-06,35,B
12W,HIST-096-01,17,B+
12W,HIST-096-03,13,A-
12W,HIST-096-05,15,B+
12W,HIST-099-01,13,A
12W,HUM-002-02,13,A-
12W,HUM-002-03,12,A-
12W,HUM-002-04,12,A-
12W,INTS-016-01,45,A-
12W,INTS-018-01,42,A-
12W,ITAL-001-02,18,A
12W,ITAL-002-01,10,A-
12W,ITAL-002-02,17,A-
12W,ITAL-008-90,13,A-
12W,ITAL-010-90,13,A-
12W,ITAL-012-90,13,A-
12W,JAPN-061-01,12,A-
12W,JWST-007-01,16,A-
12W,JWST-026-01,10,A
12W,LACS-043-01,19,B+
12W,LACS-044-01,14,A-
12W,LACS-076-01,13,B+
12W,LAT-001-02,12,B+
12W,LAT-003-01,12,B
12W,LAT-003-02,15,A-
12W,LATS-035-02,15,A-
12W,LATS-040-01,32,A-/B+
12W,LING-010-01,26,B+
12W,LING-011-01,14,A-
12W,LING-027-01,30,B+
12W,MATH-002-01,36,B
12W,MATH-002-02,36,B
12W,MATH-003-01,51,B
12W,MATH-005-01,25,B+
12W,MATH-008-01,62,B+
12W,MATH-008-02,62,B+
12W,MATH-008-03,62,B+
12W,MATH-013-01,65,B+
12W,MATH-013-02,65,B+
12W,MATH-017-01,15,A
12W,MATH-023-01,62,A-
12W,MATH-023-02,62,A-
12W,MATH-024-01,23,A-
12W,MATH-028-01,18,B+
12W,MATH-032-01,16,A-
12W,MATH-035-01,19,A-
12W,MATH-050-01,18,A-
12W,MATH-063-01,37,A-
12W,MATH-076-01,15,A
12W,MUS-003-01,58,A-
12W,MUS-004-01,25,A-
12W,MUS-006-01,14,A-
12W,MUS-021-01,12,A-
12W,MUS-045-01,26,A
12W,MUS-051-01,19,A
12W,NAS-011-01,33,B
12W,NAS-022-01,47,A-
12W,NAS-030-01,24,A-
12W,NAS-032-01,62,A
12W,NAS-034-01,39,A
12W,NAS-038-01,39,A-
12W,NAS-081-01,17,B+
12W,PBPL-005-01,101,B
12W,PBPL-007-01,13,A-
12W,PBPL-048-01,11,B+
12W,PBPL-052-01,20,B+
12W,PBPL-081-05,14,A-
12W,PBPL-084-02,13,A-
12W,PHIL-006-01,27,A-
12W,PHIL-008-01,41,B+
12W,PHIL-009-01,58,A-
12W,PHIL-013-01,10,A-
12W,PHIL-017-01,16,A-
12W,PHIL-024-01,23,B+
12W,PHIL-035-01,16,B+
12W,PHIL-080-01,13,A
12W,PHYS-004-01,74,B+
12W,PHYS-005-01,41,B+
12W,PHYS-013-01,81,B+
12W,PHYS-013-02,81,B+
12W,PHYS-014-01,51,B+
12W,PHYS-048-01,34,A-
12W,PSYC-001-01,111,B+
12W,PSYC-006-01,173,A-
12W,PSYC-007-01,16,A-
12W,PSYC-023-01,136,B+
12W,PSYC-026-01,21,B
12W,PSYC-043-01,71,B+
12W,PSYC-045-01,32,B+
12W,PSYC-050-01,19,B+
12W,PSYC-051-01,20,A
12W,PSYC-052-01,37,B+
12W,PSYC-053-01,33,B+
12W,PSYC-060-01,11,A-
12W,PSYC-083-01,11,A-
12W,PSYC-086-01,11,A-
12W,REL-001-01,35,B+
12W,REL-003-01,34,B+
12W,REL-007-01,15,A-
12W,REL-010-01,51,B+
12W,REL-015-01,14,A-/B+
12W,REL-019-01,35,A-
12W,REL-049-01,24,A-
12W,REL-051-01,15,A-
12W,REL-053-01,22,A-
12W,RUSS-002-01,13,A
12W,RUSS-010-01,68,A
12W,RUSS-011-01,14,A-
12W,RUSS-012-01,14,A-
12W,RUSS-018-01,26,A
12W,RUSS-035-01,12,A
12W,SART-015-01,11,A
12W,SART-015-02,19,A
12W,SART-015-03,12,A
12W,SART-016-01,11,A-
12W,SART-022-01,14,A-
12W,SART-025-01,10,A-
12W,SART-027-01,10,A
12W,SART-029-01,10,A-
12W,SART-076-01,15,A-
12W,SART-076-02,15,A
12W,SOCY-002-01,53,A-
