Term,Department,Number of Sections,Enrollments,Mean Points
16W,MATH,21,810,10.142857142857142
16S,MATH,25,972,10.588235294117647
16X,MATH,4,214,10.333333333333334
16F,MATH,27,2686,9.653846153846153
17W,MATH,18,1050,10.681818181818182
17S,MATH,20,878,10.5
17X,MATH,4,185,10.5
17F,MATH,28,2576,10.071428571428571
18W,MATH,21,1012,10.576923076923077
18S,MATH,22,887,10.7
18X,MATH,5,116,11.2
18F,MATH,28,2505,10.038461538461538
19W,MATH,19,1118,10.958333333333334
19S,MATH,22,1104,10.653846153846153
19X,MATH,4,123,10.666666666666666
19F,MATH,29,2528,10.666666666666666
20W,MATH,20,1055,10.125
18X,MES,1,12,10.0
18F,MES,3,79,10.833333333333334
19W,MES,9,171,11.11111111111111
19S,MES,3,162,11.333333333333334
19X,MES,5,140,11.2
19F,MES,5,411,10.75
20W,MES,8,394,11.714285714285714
11W,MUS,6,158,11.416666666666666
11S,MUS,10,232,11.45
11X,MUS,3,45,11.333333333333334
11F,MUS,8,209,11.625
12W,MUS,6,154,11.333333333333334
12S,MUS,9,189,11.555555555555555
12X,MUS,2,28,12.0
12F,MUS,5,144,11.8
13W,MUS,6,136,11.5
13S,MUS,10,196,11.1
13X,MUS,1,16,12.0
13F,MUS,6,141,11.166666666666666
14W,MUS,9,209,11.5
14S,MUS,8,157,11.5
14X,MUS,1,22,10.0
14F,MUS,6,152,11.333333333333334
15W,MUS,5,139,11.8
15S,MUS,7,102,11.642857142857142
15F,MUS,7,153,11.428571428571429
16W,MUS,6,145,11.5
16S,MUS,9,192,11.88888888888889
16X,MUS,1,19,12.0
16F,MUS,10,202,11.65
17W,MUS,8,181,11.4375
17S,MUS,12,226,11.791666666666666
17X,MUS,2,30,11.0
17F,MUS,12,252,11.833333333333334
18W,MUS,6,129,11.75
18S,MUS,15,316,11.8
18F,MUS,13,303,11.923076923076923
19W,MUS,9,200,11.88888888888889
19S,MUS,14,290,11.785714285714286
19X,MUS,2,46,11.5
19F,MUS,8,345,11.875
20W,MUS,10,296,11.8
11W,NAS,4,161,11.25
11S,NAS,7,178,10.5
11F,NAS,7,242,10.5
12W,NAS,7,261,10.857142857142858
12S,NAS,9,240,10.61111111111111
12X,NAS,1,23,10.0
12F,NAS,6,257,10.6
13W,NAS,9,247,10.777777777777779
13S,NAS,6,186,11.0
13F,NAS,9,295,10.777777777777779
14W,NAS,6,156,11.0
14S,NAS,8,222,10.9375
14F,NAS,6,174,11.166666666666666
15W,NAS,6,117,11.25
15S,NAS,4,81,11.0
15F,NAS,3,132,11.0
16W,NAS,7,232,10.785714285714286
16S,NAS,5,189,10.6
16X,NAS,1,15,11.0
16F,NAS,7,235,11.142857142857142
17W,NAS,2,58,10.5
17S,NAS,8,224,10.75
17X,NAS,1,35,10.0
17F,NAS,6,176,11.166666666666666
18W,NAS,8,200,11.0625
18S,NAS,7,263,11.142857142857142
18F,NAS,8,279,11.5
19W,NAS,8,167,11.1875
19S,NAS,7,249,10.714285714285714
19F,NAS,10,264,11.4
20W,NAS,4,84,11.5
11W,PBPL,7,173,11.1
11S,PBPL,3,81,10.0
11X,PBPL,3,88,10.5
11F,PBPL,3,80,10.666666666666666
12W,PBPL,6,172,10.333333333333334
12S,PBPL,2,57,10.0
12X,PBPL,1,40,10.5
12F,PBPL,4,102,10.5
13W,PBPL,6,153,11.0
13S,PBPL,3,70,11.0
13X,PBPL,1,33,10.0
13F,PBPL,6,125,10.7
14W,PBPL,3,122,11.0
14S,PBPL,3,48,11.0
14X,PBPL,2,58,10.0
14F,PBPL,6,135,10.833333333333334
15W,PBPL,2,93,11.0
15S,PBPL,4,85,10.5
15X,PBPL,2,53,10.5
15F,PBPL,4,76,11.0
16W,PBPL,2,113,10.5
16S,PBPL,3,94,10.333333333333334
16X,PBPL,1,32,10.0
16F,PBPL,4,107,10.75
17W,PBPL,2,119,10.5
17S,PBPL,3,88,10.0
17X,PBPL,1,29,10.0
17F,PBPL,2,68,10.5
18W,PBPL,7,170,11.0
18S,PBPL,4,113,10.25
18X,PBPL,3,50,10.666666666666666
18F,PBPL,4,89,11.0
19W,PBPL,7,223,10.5
19S,PBPL,3,62,11.666666666666666
19X,PBPL,1,34,10.0
19F,PBPL,3,73,11.333333333333334
20W,PBPL,8,236,10.833333333333334
11W,PHIL,7,170,10.428571428571429
11S,PHIL,7,195,10.5
11X,PHIL,2,28,10.0
11F,PHIL,9,234,10.375
12W,PHIL,8,204,10.75
12S,PHIL,7,221,10.785714285714286
12X,PHIL,2,31,10.5
12F,PHIL,9,208,10.535714285714286
13W,PHIL,5,111,11.2
13S,PHIL,8,183,10.8125
13X,PHIL,3,91,10.833333333333334
13F,PHIL,10,237,10.291666666666668
14W,PHIL,7,156,10.714285714285714
14S,PHIL,8,222,10.875
14X,PHIL,2,73,10.5
14F,PHIL,9,190,10.444444444444445
15W,PHIL,8,147,11.0
15S,PHIL,10,185,10.6
15X,PHIL,2,53,10.5
15F,PHIL,12,267,10.5
16W,PHIL,8,166,10.75
16S,PHIL,11,250,10.833333333333334
16X,PHIL,3,77,11.333333333333334
16F,PHIL,7,158,10.357142857142858
17W,PHIL,7,159,11.357142857142858
17S,PHIL,10,239,11.5
17X,PHIL,5,225,11.2
17F,PHIL,9,184,10.777777777777779
18W,PHIL,8,156,10.875
18S,PHIL,13,345,11.208333333333334
18X,PHIL,3,73,11.0
18F,PHIL,9,205,10.777777777777779
19W,PHIL,10,193,11.0
19S,PHIL,13,294,11.038461538461538
19X,PHIL,4,65,11.25
19F,PHIL,13,351,11.153846153846153
20W,PHIL,10,213,11.15
11W,PHYS,7,285,10.5
11S,PHYS,9,273,10.4375
11X,PHYS,2,65,10.25
11F,PHYS,7,310,10.666666666666666
12W,PHYS,6,362,10.2
12S,PHYS,8,358,10.714285714285714
12X,PHYS,2,67,11.0
12F,PHYS,7,344,10.333333333333334
13W,PHYS,8,443,10.428571428571429
13S,PHYS,10,439,10.833333333333334
13X,PHYS,1,51,11.0
13F,PHYS,7,357,10.666666666666666
14W,PHYS,10,482,10.88888888888889
14S,PHYS,9,327,10.75
14X,PHYS,2,61,11.25
14F,PHYS,6,374,11.1
15W,PHYS,8,358,10.285714285714286
15S,PHYS,10,413,11.0
15X,PHYS,2,53,12.0
15F,PHYS,6,366,10.6
16W,PHYS,9,465,10.25
16S,PHYS,11,311,10.8
16X,PHYS,2,99,11.5
16F,PHYS,7,325,10.75
17W,PHYS,7,379,9.666666666666666
17S,PHYS,9,353,10.5
17X,PHYS,2,74,11.0
17F,PHYS,7,381,10.833333333333334
18W,PHYS,8,420,10.214285714285714
18S,PHYS,7,330,11.0
18X,PHYS,2,99,12.0
18F,PHYS,6,338,11.0
19W,PHYS,7,369,10.666666666666666
19S,PHYS,9,308,10.9375
19X,PHYS,2,131,10.0
19F,PHYS,8,327,10.857142857142858
20W,PHYS,11,394,10.9
11W,PORT,1,10,9.5
11S,PORT,3,36,11.25
11X,PORT,3,66,11.333333333333334
11F,PORT,1,12,11.0
12S,PORT,2,32,12.0
12X,PORT,3,36,11.166666666666666
13S,PORT,2,29,11.5
13X,PORT,3,51,11.666666666666666
14S,PORT,1,12,11.0
14X,PORT,3,30,11.0
14F,PORT,1,11,12.0
15W,PORT,1,10,12.0
16W,PORT,1,14,12.0
18X,PORT,2,36,12.0
18F,PORT,1,10,9.0
19S,PORT,1,25,12.0
20W,PORT,1,14,12.0
11W,PSYC,14,726,10.923076923076923
11S,PSYC,16,625,10.25
11X,PSYC,4,268,11.0
11F,PSYC,17,667,10.38888888888889
12W,PSYC,14,702,10.428571428571429
12S,PSYC,15,618,10.354166666666666
12X,PSYC,4,307,10.75
12F,PSYC,17,755,10.375
13W,PSYC,14,692,10.416666666666666
13S,PSYC,14,668,10.423076923076923
13X,PSYC,4,223,10.25
13F,PSYC,17,729,10.535714285714286
14W,PSYC,19,672,10.947916666666666
14S,PSYC,17,649,10.411764705882353
14X,PSYC,4,146,10.625
14F,PSYC,15,661,10.178571428571429
15W,PSYC,15,626,10.7
15S,PSYC,20,653,10.631578947368421
15X,PSYC,3,107,11.0
15F,PSYC,17,619,10.53125
16W,PSYC,17,540,10.882352941176471
16S,PSYC,17,581,10.352941176470589
16X,PSYC,4,137,9.75
16F,PSYC,16,644,10.78125
17W,PSYC,15,573,11.3
17S,PSYC,16,638,10.59375
17X,PSYC,5,156,10.5
17F,PSYC,17,642,10.382352941176471
18W,PSYC,15,471,10.966666666666667
18S,PSYC,18,721,11.055555555555555
18X,PSYC,3,124,10.666666666666666
18F,PSYC,18,721,10.63888888888889
19W,PSYC,14,461,11.0
19S,PSYC,15,638,10.733333333333333
19X,PSYC,3,98,10.0
19F,PSYC,16,732,10.96875
20W,PSYC,15,490,10.866666666666667
13F,QBS,1,14,11.5
14F,QBS,1,10,10.0
15F,QBS,1,32,11.0
15F,QSS,5,93,10.1
16W,QSS,1,17,11.0
16S,QSS,4,76,11.0
16X,QSS,1,29,10.0
16F,QSS,4,139,10.666666666666666
17W,QSS,2,36,12.0
17S,QSS,3,48,11.0
17F,QSS,4,107,9.916666666666666
18W,QSS,7,128,10.5
18S,QSS,4,104,10.5
18F,QSS,3,91,10.166666666666666
19W,QSS,5,116,11.0
19S,QSS,3,65,11.25
19X,QSS,2,54,10.0
19F,QSS,4,123,10.25
20W,QSS,4,129,11.166666666666666
11W,REL,8,241,10.9375
11S,REL,9,195,10.944444444444445
11X,REL,3,119,11.0
11F,REL,10,321,10.4
12W,REL,9,245,10.61111111111111
12S,REL,4,65,10.875
12X,REL,4,108,10.5
12F,REL,5,197,10.8
13W,REL,6,183,10.833333333333334
13S,REL,10,258,10.8
13X,REL,2,51,10.5
13F,REL,7,221,11.0
14W,REL,7,218,10.857142857142858
14S,REL,9,227,10.722222222222221
14X,REL,3,61,11.333333333333334
14F,REL,9,487,10.88888888888889
15W,REL,6,147,10.583333333333334
15S,REL,10,248,10.65
15X,REL,1,26,11.0
15F,REL,13,360,10.5
16W,REL,10,184,10.9
16S,REL,9,249,11.11111111111111
16X,REL,3,98,10.0
16F,REL,7,254,10.714285714285714
17W,REL,10,308,11.15
17S,REL,13,295,11.038461538461538
17X,REL,1,23,12.0
17F,REL,11,223,10.954545454545455
18W,REL,10,301,11.15
18S,REL,9,197,10.722222222222221
18X,REL,2,70,10.5
18F,REL,13,310,11.115384615384615
19W,REL,12,239,11.375
19S,REL,9,194,11.5
19X,REL,5,117,10.9
19F,REL,12,324,11.291666666666666
20W,REL,11,276,11.454545454545455
11W,RUSS,2,60,11.5
11S,RUSS,3,88,10.666666666666666
11F,RUSS,4,95,11.125
12W,RUSS,6,147,11.666666666666666
12S,RUSS,2,126,11.0
12X,RUSS,2,25,11.0
12F,RUSS,2,128,11.25
13W,RUSS,3,62,11.166666666666666
13S,RUSS,2,58,11.0
13X,RUSS,3,33,10.666666666666666
13F,RUSS,2,57,11.5
14W,RUSS,4,122,11.625
14S,RUSS,5,121,11.3
14X,RUSS,2,28,11.0
14F,RUSS,4,67,11.25
15W,RUSS,4,103,11.25
15S,RUSS,4,98,11.625
15F,RUSS,3,82,11.0
16W,RUSS,4,90,11.75
16S,RUSS,4,118,11.75
16X,RUSS,1,27,11.0
16F,RUSS,1,69,12.0
17W,RUSS,4,66,11.375
17S,RUSS,6,141,11.583333333333334
17F,RUSS,3,103,12.0
18W,RUSS,6,132,11.75
18S,RUSS,4,66,11.125
18F,RUSS,4,119,12.0
19W,RUSS,4,86,11.875
19S,RUSS,4,96,11.25
19F,RUSS,4,77,11.75
20W,RUSS,5,92,11.6
11W,SART,10,131,11.319444444444443
11S,SART,14,189,11.4
11X,SART,6,78,11.45
11F,SART,10,133,11.273809523809522
12W,SART,10,127,11.357142857142858
12S,SART,11,141,11.208333333333332
12X,SART,4,51,11.583333333333334
12F,SART,6,84,10.916666666666666
13W,SART,8,103,11.25
13S,SART,10,133,11.523809523809522
13X,SART,2,23,11.5
13F,SART,5,73,11.555555555555555
14W,SART,9,112,11.428571428571429
14S,SART,7,89,11.416666666666666
14X,SART,2,22,11.0
14F,SART,4,56,12.0
15W,SART,9,112,11.5
15S,SART,9,116,11.714285714285714
15X,SART,2,26,11.5
15F,SART,6,75,11.75
16W,SART,6,78,11.5
16S,SART,8,99,11.833333333333334
16X,SART,5,60,11.625
16F,SART,9,120,11.541666666666666
17W,SART,11,130,11.488095238095237
17S,SART,10,128,11.305555555555555
17X,SART,6,74,11.9
17F,SART,8,109,11.972222222222223
18W,SART,9,114,11.861111111111109
18S,SART,11,137,11.722222222222221
18X,SART,7,85,11.214285714285714
18F,SART,7,101,11.8
19W,SART,10,112,11.71875
19S,SART,10,126,11.854166666666668
19X,SART,6,86,11.5
19F,SART,7,75,11.5
20W,SART,9,105,12.0
11W,SOCY,11,341,10.45
11S,SOCY,8,173,10.5
11X,SOCY,3,55,10.333333333333334
11F,SOCY,8,212,10.785714285714286
12W,SOCY,9,253,10.5
12S,SOCY,8,244,10.625
12X,SOCY,3,57,10.333333333333334
12F,SOCY,10,290,10.7
13W,SOCY,9,230,10.38888888888889
13S,SOCY,10,342,10.666666666666666
13X,SOCY,4,143,10.75
13F,SOCY,7,248,10.785714285714286
14W,SOCY,10,268,10.5
14S,SOCY,13,345,10.833333333333334
14X,SOCY,6,154,10.833333333333334
14F,SOCY,13,437,10.692307692307692
15W,SOCY,11,303,10.681818181818182
15S,SOCY,12,341,10.625
15X,SOCY,3,87,10.333333333333334
15F,SOCY,7,242,10.0
16W,SOCY,11,290,10.227272727272727
16S,SOCY,14,374,10.321428571428571
16X,SOCY,3,75,10.333333333333334
16F,SOCY,9,284,10.222222222222221
17W,SOCY,10,265,10.65
17S,SOCY,15,332,10.8
17X,SOCY,3,60,10.0
17F,SOCY,7,271,10.142857142857142
18W,SOCY,13,307,10.583333333333334
18S,SOCY,13,346,10.76923076923077
18X,SOCY,4,74,10.75
18F,SOCY,10,297,10.5
19W,SOCY,12,262,10.590909090909092
19S,SOCY,8,144,10.8125
19X,SOCY,2,34,11.0
19F,SOCY,10,268,10.805555555555555
20W,SOCY,13,278,11.115384615384615
11W,SPAN,25,454,11.229861111111111
11S,SPAN,23,422,10.95952380952381
11X,SPAN,4,75,11.0
11F,SPAN,26,447,11.002564102564103
12W,SPAN,22,376,11.275
12S,SPAN,23,392,10.976190476190476
12X,SPAN,3,38,11.666666666666666
12F,SPAN,26,460,11.166666666666666
13W,SPAN,25,514,11.229166666666666
13S,SPAN,28,423,11.455128205128204
13X,SPAN,3,42,10.833333333333334
13F,SPAN,24,441,11.161666666666667
14W,SPAN,24,392,10.960714285714285
14S,SPAN,20,827,11.318181818181818
14X,SPAN,5,79,11.4
14F,SPAN,24,371,11.263888888888888
15W,SPAN,28,449,11.451388888888888
15S,SPAN,28,408,11.22576530612245
15X,SPAN,8,123,10.785714285714286
15F,SPAN,30,1517,11.134615384615385
16W,SPAN,28,1262,11.291666666666666
16S,SPAN,28,1288,11.346938775510205
16X,SPAN,8,89,11.375
16F,SPAN,31,1596,11.083333333333332
17W,SPAN,28,1341,11.3
17S,SPAN,28,1150,11.392857142857142
17X,SPAN,7,106,10.785714285714286
17F,SPAN,32,1814,11.321428571428571
18W,SPAN,29,1371,11.5
18S,SPAN,27,1106,11.366666666666667
18X,SPAN,4,63,11.375
18F,SPAN,29,1759,11.384615384615385
19W,SPAN,30,1448,11.574404761904761
19S,SPAN,28,1247,11.6
19X,SPAN,6,91,11.666666666666666
19F,SPAN,31,1520,11.23076923076923
20W,SPAN,29,1113,11.726190476190476
11W,SPEE,1,13,11.0
11F,SPEE,3,39,10.875
12W,SPEE,4,55,11.416666666666666
12S,SPEE,2,25,11.5
12F,SPEE,2,27,12.0
13W,SPEE,3,42,11.0
13S,SPEE,3,42,11.375
13F,SPEE,2,28,11.0
14W,SPEE,2,28,11.25
14S,SPEE,4,52,11.416666666666666
14F,SPEE,3,38,11.375
15W,SPEE,3,44,11.0
15S,SPEE,1,12,11.0
15F,SPEE,2,27,11.5
16W,SPEE,2,28,12.0
16S,SPEE,5,65,11.1
16F,SPEE,3,38,11.5
17W,SPEE,3,45,12.0
17S,SPEE,3,37,11.333333333333334
17X,SPEE,1,12,12.0
17F,SPEE,4,59,11.5
18W,SPEE,2,26,11.75
18S,SPEE,3,38,11.5
18F,SPEE,2,29,11.0
19S,SPEE,3,40,11.333333333333334
19F,SPEE,2,26,12.0
20W,SPEE,5,71,11.3
11S,SSOC,1,28,10.0
13S,SSOC,1,31,10.0
14W,SSOC,1,31,10.0
11W,THEA,11,149,11.833333333333334
11S,THEA,9,142,11.785714285714286
11X,THEA,1,10,12.0
11F,THEA,7,94,11.533333333333333
12W,THEA,13,227,12.0
12S,THEA,10,172,11.5625
12X,THEA,1,11,12.0
12F,THEA,9,123,11.785714285714286
13W,THEA,7,111,11.6
13S,THEA,9,125,11.194444444444443
13X,THEA,1,14,12.0
13F,THEA,6,106,12.0
14W,THEA,11,164,11.464285714285714
14S,THEA,11,170,11.8
14X,THEA,2,21,12.0
14F,THEA,11,155,11.555555555555555
15W,THEA,9,149,11.8125
15S,THEA,12,201,11.65
15X,THEA,2,23,11.75
15F,THEA,5,84,11.6875
16W,THEA,10,152,11.583333333333332
16S,THEA,16,258,11.766666666666667
16F,THEA,7,128,11.291666666666666
17W,THEA,8,121,11.833333333333334
17S,THEA,15,255,11.892857142857142
17X,THEA,2,23,12.0
17F,THEA,9,114,11.375
18W,THEA,10,151,11.7
18S,THEA,12,202,11.75
18X,THEA,1,10,12.0
18F,THEA,10,145,12.0
19W,THEA,5,73,12.0
19S,THEA,11,196,11.95
19X,THEA,1,10,12.0
19F,THEA,10,141,12.0
20W,THEA,6,79,11.916666666666666
11W,TUCK,2,105,9.5
11S,TUCK,2,94,10.5
11F,TUCK,2,93,11.0
12W,TUCK,2,102,10.0
12S,TUCK,2,110,12.0
12F,TUCK,2,246,10.0
13W,TUCK,2,242,10.0
13S,TUCK,2,262,11.0
13F,TUCK,2,122,10.0
14W,TUCK,2,256,10.0
14S,TUCK,2,250,11.0
14F,TUCK,2,234,11.0
15W,TUCK,2,254,11.0
15S,TUCK,2,236,11.0
15F,TUCK,2,224,10.0
16W,TUCK,2,244,11.0
16S,TUCK,2,246,11.0
16F,TUCK,2,220,10.0
17W,TUCK,2,270,11.0
17S,TUCK,2,230,11.0
17F,TUCK,2,222,10.0
18W,TUCK,2,214,11.0
18S,TUCK,2,270,9.0
18F,TUCK,2,236,12.0
19W,TUCK,2,192,11.0
19S,TUCK,2,202,10.0
19F,TUCK,2,224,12.0
20W,TUCK,2,162,12.0
15X,WGSS,6,116,10.916666666666666
15F,WGSS,10,206,11.464285714285714
16W,WGSS,8,186,11.428571428571429
16S,WGSS,12,262,11.0
16X,WGSS,5,84,11.8
16F,WGSS,12,243,11.277777777777779
17W,WGSS,9,203,11.0
17S,WGSS,12,250,10.916666666666666
17X,WGSS,4,58,11.375
17F,WGSS,15,320,11.270833333333334
18W,WGSS,9,188,11.444444444444445
18S,WGSS,12,280,11.625
18X,WGSS,6,122,11.833333333333334
18F,WGSS,12,243,11.61111111111111
19W,WGSS,12,222,11.416666666666666
19S,WGSS,13,283,11.576923076923077
19X,WGSS,7,114,11.428571428571429
19F,WGSS,16,309,11.51923076923077
20W,WGSS,9,182,11.444444444444445
11W,WGST,9,249,11.03125
11S,WGST,9,207,11.0
11X,WGST,2,57,12.0
11F,WGST,9,199,11.0625
12W,WGST,11,259,10.8
12S,WGST,15,274,11.076923076923077
12X,WGST,3,59,11.333333333333334
12F,WGST,9,185,11.625
13W,WGST,11,210,11.222222222222221
13S,WGST,12,241,11.444444444444445
13X,WGST,3,62,11.75
13F,WGST,13,296,11.484848484848486
14W,WGST,8,160,11.125
14S,WGST,14,293,11.076923076923077
14X,WGST,4,68,11.666666666666666
14F,WGST,11,218,11.4375
15W,WGST,15,321,11.266666666666667
15S,WGST,10,172,11.3
11S,WPS,1,28,10.0
12S,WPS,1,21,10.0
13S,WPS,1,31,10.0
14W,WPS,1,31,10.0
11W,WRIT,28,471,10.92857142857143
11S,WRIT,3,47,11.5
11F,WRIT,33,548,10.680555555555555
12W,WRIT,27,451,10.791118421052634
12S,WRIT,3,40,11.666666666666666
12F,WRIT,41,633,10.828598484848484
13W,WRIT,34,523,10.920673076923077
13S,WRIT,5,84,11.7
13F,WRIT,41,628,10.688446969696969
14W,WRIT,37,565,10.75
14S,WRIT,5,79,11.5
14F,WRIT,41,629,10.672348484848484
15W,WRIT,40,603,11.172916666666666
15S,WRIT,7,124,11.571428571428571
15F,WRIT,38,581,10.804166666666667
16W,WRIT,39,609,10.584590517241379
16S,WRIT,7,122,11.214285714285714
16X,WRIT,1,29,11.0
16F,WRIT,39,600,11.118951612903228
17W,WRIT,38,578,11.189583333333331
17S,WRIT,6,96,11.5
17X,WRIT,2,26,11.75
17F,WRIT,35,542,11.632352941176471
18W,WRIT,39,606,11.120833333333332
18S,WRIT,9,142,11.666666666666666
18X,WRIT,1,17,12.0
18F,WRIT,41,640,11.26736111111111
19W,WRIT,37,577,11.435363247863247
19S,WRIT,7,109,11.642857142857142
19X,WRIT,1,19,12.0
19F,WRIT,42,657,11.255050505050505
20W,WRIT,42,644,11.825066137566138
