Year,Term,Department,Course Number,Number of Sections,Enrollments,Mean Points
2013,13S,AAAS,60.0,1,18,11.0
2014,14W,AAAS,60.0,1,14,11.0
2018,18F,AAAS,60.0,1,16,12.0
2016,16W,AAAS,61.0,1,10,11.5
2017,17W,AAAS,61.0,1,33,11.0
2017,17S,AAAS,62.0,1,17,11.0
2019,19W,AAAS,62.0,1,15,12.0
2018,18W,AAAS,63.0,1,17,12.0
2012,12S,AAAS,65.0,1,12,11.0
2013,13W,AAAS,65.0,1,14,10.0
2018,18W,AAAS,65.0,1,14,12.0
2012,12S,AAAS,67.0,1,14,11.0
2013,13S,AAAS,67.0,1,11,11.0
2018,18X,AAAS,68.0,1,18,12.0
2020,20W,AAAS,68.0,1,15,12.0
2016,16S,AAAS,7.02,1,16,11.0
2017,17S,AAAS,7.02,1,16,11.0
2015,15S,AAAS,7.04,1,15,11.0
2011,11W,AAAS,80.0,1,11,11.0
2011,11X,AAAS,80.0,1,13,11.0
2012,12X,AAAS,80.0,1,18,10.0
2013,13F,AAAS,80.0,1,11,11.0
2014,14W,AAAS,80.0,1,17,10.0
2011,11S,AAAS,81.0,1,13,11.0
2012,12S,AAAS,82.0,1,37,11.0
2013,13S,AAAS,82.0,2,48,11.25
2011,11S,AAAS,83.0,1,14,11.0
2011,11F,AAAS,83.0,1,27,11.0
2012,12W,AAAS,83.0,1,16,11.0
2012,12F,AAAS,83.0,1,50,9.0
2013,13S,AAAS,83.0,1,18,10.0
2013,13F,AAAS,83.0,1,18,12.0
2011,11F,AAAS,85.0,1,16,11.5
2013,13S,AAAS,85.0,1,17,11.0
2012,12S,AAAS,86.0,1,18,11.0
2013,13W,AAAS,86.0,1,18,10.5
2014,14W,AAAS,86.0,2,26,11.5
2011,11S,AAAS,88.0,1,16,11.0
2012,12S,AAAS,88.0,1,14,12.0
2012,12F,AAAS,88.0,1,12,10.5
2013,13F,AAAS,88.0,1,12,11.0
2011,11F,AAAS,90.0,1,11,12.0
2012,12S,AAAS,90.0,1,14,10.5
2013,13W,AAAS,90.0,1,15,12.0
2013,13S,AAAS,90.0,1,11,12.0
2013,13S,AAAS,91.0,1,13,11.0
