Year,Term,Department,Course Number,Number of Sections,Enrollments,Mean Points
2018,18S,EARS,1.0,1,54,10.0
2018,18F,EARS,1.0,1,52,11.0
2019,19S,EARS,1.0,1,53,10.0
2019,19F,EARS,1.0,1,53,11.0
2011,11W,EARS,2.0,1,62,12.0
2012,12W,EARS,2.0,1,167,11.0
2013,13W,EARS,2.0,1,146,11.0
2014,14W,EARS,2.0,1,144,11.0
2015,15W,EARS,2.0,1,153,11.0
2016,16W,EARS,2.0,1,130,10.0
2017,17W,EARS,2.0,1,125,10.0
2018,18W,EARS,2.0,1,95,10.0
2019,19W,EARS,2.0,2,105,11.0
2020,20W,EARS,2.0,2,69,10.5
2011,11S,EARS,3.0,1,119,11.0
2012,12S,EARS,3.0,1,168,10.0
2013,13S,EARS,3.0,1,160,11.0
2014,14S,EARS,3.0,1,129,11.0
2015,15S,EARS,3.0,1,149,11.0
2016,16S,EARS,3.0,1,139,11.0
2017,17S,EARS,3.0,1,127,10.0
2018,18S,EARS,3.0,1,140,10.0
2019,19S,EARS,3.0,1,73,11.0
2013,13S,EARS,4.0,1,19,9.0
2015,15W,EARS,4.0,1,19,7.0
2011,11X,EARS,5.0,1,29,10.0
2012,12X,EARS,5.0,1,47,10.0
2013,13X,EARS,5.0,1,64,10.0
2014,14X,EARS,5.0,1,65,10.0
2015,15X,EARS,5.0,1,80,10.0
2011,11F,EARS,6.0,1,285,12.0
2012,12F,EARS,6.0,1,171,10.0
2013,13F,EARS,6.0,1,147,11.0
2014,14F,EARS,6.0,1,160,12.0
2015,15F,EARS,6.0,1,171,11.0
2016,16F,EARS,6.0,1,130,11.0
2017,17F,EARS,6.0,1,109,10.0
2018,18F,EARS,6.0,1,108,10.0
2019,19F,EARS,6.0,1,71,10.0
2011,11W,EARS,7.0,1,15,12.0
2012,12W,EARS,7.0,1,13,10.0
2013,13W,EARS,7.0,1,16,12.0
2014,14W,EARS,7.0,1,16,9.0
2011,11S,EARS,8.0,1,14,11.0
2013,13S,EARS,8.0,1,12,12.0
2011,11W,EARS,9.0,1,27,11.0
2012,12W,EARS,9.0,1,11,11.0
2013,13W,EARS,9.0,1,27,11.0
2014,14W,EARS,9.0,1,57,10.0
2015,15W,EARS,9.0,1,34,11.0
2016,16W,EARS,9.0,1,54,11.0
2017,17W,EARS,9.0,1,112,10.0
2018,18W,EARS,9.0,1,44,10.0
2019,19W,EARS,9.0,1,19,10.0
2020,20W,EARS,9.0,1,38,11.0
2012,12S,EARS,14.0,1,24,12.0
2014,14S,EARS,14.0,1,36,11.5
2016,16S,EARS,14.0,1,19,12.0
2018,18F,EARS,14.0,1,15,11.0
2011,11W,EARS,15.0,1,10,11.0
2012,12W,EARS,15.0,1,13,11.0
2014,14W,EARS,15.0,1,14,11.0
2017,17W,EARS,15.0,1,19,11.0
2020,20W,EARS,15.0,1,19,11.0
2014,14S,EARS,16.0,1,13,11.0
2017,17S,EARS,19.0,1,43,10.0
2019,19S,EARS,19.0,1,32,11.0
2016,16W,EARS,28.0,1,16,11.0
2017,17W,EARS,28.0,1,13,10.0
2012,12S,EARS,31.0,1,12,10.0
2013,13S,EARS,31.0,1,21,11.0
2019,19W,EARS,32.0,1,12,10.0
2020,20W,EARS,32.0,1,10,10.0
2011,11X,EARS,33.0,1,12,10.5
2018,18S,EARS,33.0,1,12,12.0
2012,12S,EARS,35.0,1,13,11.0
2014,14S,EARS,35.0,1,13,11.0
2017,17S,EARS,35.0,1,17,11.0
2013,13F,EARS,37.0,1,19,11.0
2014,14F,EARS,37.0,1,20,11.0
2020,20W,EARS,37.0,1,16,12.0
2016,16S,EARS,38.0,1,10,11.0
2017,17S,EARS,38.0,1,21,11.0
2019,19S,EARS,38.0,1,16,11.0
2011,11X,EARS,40.0,1,11,11.0
2012,12X,EARS,40.0,1,26,11.0
2013,13X,EARS,40.0,1,18,11.0
2014,14X,EARS,40.0,1,19,11.0
2015,15X,EARS,40.0,1,29,11.0
2016,16X,EARS,40.0,1,25,11.0
2017,17X,EARS,40.0,1,26,11.0
2018,18X,EARS,40.0,1,26,11.0
2019,19X,EARS,40.0,1,29,11.0
2011,11F,EARS,45.0,1,11,11.0
2012,12F,EARS,45.0,1,23,11.0
2013,13F,EARS,45.0,1,11,11.0
2014,14F,EARS,45.0,1,14,11.0
2015,15F,EARS,45.0,1,23,11.0
2016,16F,EARS,45.0,1,21,11.0
2017,17F,EARS,45.0,1,23,11.0
2018,18F,EARS,45.0,1,22,11.0
2019,19F,EARS,45.0,1,25,11.0
2011,11F,EARS,46.0,1,11,11.0
2012,12F,EARS,46.0,1,23,11.0
2013,13F,EARS,46.0,1,11,11.0
2014,14F,EARS,46.0,1,14,11.0
2015,15F,EARS,46.0,1,23,11.0
2016,16F,EARS,46.0,1,21,11.0
2017,17F,EARS,46.0,1,23,11.0
2018,18F,EARS,46.0,1,22,11.0
2019,19F,EARS,46.0,1,25,11.0
2011,11F,EARS,47.0,1,11,11.0
2012,12F,EARS,47.0,1,23,12.0
2013,13F,EARS,47.0,1,11,11.0
2014,14F,EARS,47.0,1,14,11.0
2015,15F,EARS,47.0,1,23,11.0
2016,16F,EARS,47.0,1,21,11.0
2017,17F,EARS,47.0,1,23,11.0
2018,18F,EARS,47.0,1,22,10.0
2019,19F,EARS,47.0,1,25,11.0
2012,12W,EARS,51.0,1,10,12.0
2011,11S,EARS,52.0,1,10,12.0
2013,13S,EARS,52.0,1,13,10.0
2015,15S,EARS,52.0,1,11,10.0
2018,18W,EARS,58.0,1,14,10.5
2016,16S,EARS,64.0,1,13,11.0
2018,18S,EARS,64.0,1,13,10.0
2014,14W,EARS,65.0,1,25,12.0
2015,15W,EARS,65.0,1,19,11.0
2016,16W,EARS,65.0,1,19,11.0
2018,18W,EARS,65.0,1,23,12.0
2020,20W,EARS,65.0,1,12,11.5
2011,11W,EARS,66.0,1,12,10.5
2013,13W,EARS,66.0,1,16,10.0
2016,16W,EARS,66.0,1,10,11.5
2017,17W,EARS,66.0,1,16,10.0
2015,15W,EARS,7.01,1,16,12.0
2016,16W,EARS,7.01,1,15,11.0
2017,17W,EARS,7.06,1,16,12.0
2018,18W,EARS,7.06,1,16,12.0
2019,19S,EARS,7.06,1,15,12.0
2020,20W,EARS,7.06,1,16,12.0
2014,14S,EARS,70.0,1,19,11.0
2016,16S,EARS,70.0,1,12,9.5
2018,18S,EARS,70.0,1,11,11.0
2011,11S,EARS,71.0,1,19,11.0
2013,13S,EARS,71.0,1,25,11.0
2015,15S,EARS,71.0,1,15,10.0
2019,19S,EARS,71.0,1,12,11.0
2011,11S,EARS,76.0,1,11,11.0
2016,16S,EARS,76.0,1,10,12.0
2018,18S,EARS,76.0,1,17,11.0
2013,13W,EARS,77.0,1,17,12.0
2017,17W,EARS,77.0,1,17,12.0
2018,18W,EARS,77.0,1,11,12.0
2018,18S,EARS,78.0,1,22,11.0
2018,18W,EARS,89.0,1,11,12.0
2018,18S,EARS,89.0,1,11,12.0
2011,11S,EARS,152.0,1,10,12.0
2015,15S,EARS,152.0,1,11,10.0
2014,14W,EARS,165.0,1,25,12.0
2015,15W,EARS,165.0,1,19,11.0
2016,16W,EARS,165.0,1,19,11.0
2011,11W,EARS,166.0,1,12,10.5
2017,17W,EARS,166.0,1,16,10.0
2016,16S,EARS,170.0,1,12,9.5
2011,11S,EARS,171.0,1,19,11.0
2013,13S,EARS,171.0,1,25,11.0
2015,15S,EARS,171.0,1,15,10.0
2011,11S,EARS,176.0,1,11,11.0
2013,13W,EARS,177.0,1,17,12.0
2011,11W,ECON,1.0,4,316,9.0
2011,11S,ECON,1.0,4,220,9.0
2011,11F,ECON,1.0,5,364,9.2
2012,12W,ECON,1.0,6,364,9.0
2012,12S,ECON,1.0,4,250,9.0
2012,12F,ECON,1.0,6,438,9.0
2013,13W,ECON,1.0,4,300,9.0
2013,13S,ECON,1.0,4,208,8.75
2013,13F,ECON,1.0,5,354,9.4
2014,14W,ECON,1.0,5,339,9.0
2014,14S,ECON,1.0,4,200,9.5
2014,14F,ECON,1.0,6,370,9.166666666666666
2015,15W,ECON,1.0,4,240,9.5
2015,15S,ECON,1.0,4,224,8.5
2015,15F,ECON,1.0,4,320,9.5
2016,16W,ECON,1.0,4,252,8.5
2016,16S,ECON,1.0,4,250,9.0
2016,16F,ECON,1.0,4,304,9.5
2017,17W,ECON,1.0,4,226,9.5
2017,17S,ECON,1.0,4,286,8.5
2017,17F,ECON,1.0,4,419,10.0
2018,18W,ECON,1.0,4,222,9.0
2018,18S,ECON,1.0,4,250,9.25
2018,18F,ECON,1.0,4,320,9.5
2019,19W,ECON,1.0,3,199,9.666666666666666
2019,19S,ECON,1.0,4,276,9.0
2019,19F,ECON,1.0,4,257,9.25
2020,20W,ECON,1.0,4,406,9.0
2011,11S,ECON,2.0,1,45,8.0
2011,11F,ECON,2.0,1,42,9.0
2012,12S,ECON,2.0,1,42,9.0
2012,12F,ECON,2.0,1,35,9.0
2013,13S,ECON,2.0,1,40,9.0
2013,13F,ECON,2.0,1,35,9.0
2014,14S,ECON,2.0,1,40,9.0
2014,14F,ECON,2.0,1,38,9.0
2015,15S,ECON,2.0,1,35,9.0
2015,15F,ECON,2.0,1,32,9.0
2016,16S,ECON,2.0,1,26,9.0
2016,16F,ECON,2.0,1,44,9.0
2017,17F,ECON,2.0,1,44,9.0
2018,18S,ECON,2.0,1,43,10.0
2018,18F,ECON,2.0,1,42,10.0
2019,19S,ECON,2.0,1,43,10.0
2019,19F,ECON,2.0,1,33,11.0
2015,15F,ECON,5.0,1,12,11.0
2017,17F,ECON,5.0,1,13,11.0
2019,19S,ECON,5.0,1,18,11.0
2019,19F,ECON,5.0,1,19,11.0
2011,11W,ECON,10.0,2,84,10.0
2011,11S,ECON,10.0,2,78,9.0
2011,11F,ECON,10.0,1,27,10.0
2012,12W,ECON,10.0,2,90,10.0
2012,12S,ECON,10.0,2,124,9.5
2012,12F,ECON,10.0,3,81,10.0
2013,13W,ECON,10.0,2,118,10.0
2013,13S,ECON,10.0,2,100,10.0
2013,13F,ECON,10.0,2,74,10.0
2014,14W,ECON,10.0,2,116,9.0
2014,14S,ECON,10.0,2,53,9.25
2014,14F,ECON,10.0,2,118,10.0
2015,15W,ECON,10.0,2,60,9.5
2015,15S,ECON,10.0,2,114,9.0
2015,15F,ECON,10.0,2,90,9.0
2016,16W,ECON,10.0,2,84,9.0
2016,16S,ECON,10.0,2,100,9.0
2016,16F,ECON,10.0,2,100,9.5
2017,17W,ECON,10.0,2,66,9.0
2017,17S,ECON,10.0,2,96,9.5
2017,17F,ECON,10.0,2,90,9.0
2018,18W,ECON,10.0,2,132,10.0
2018,18S,ECON,10.0,2,92,9.0
2018,18F,ECON,10.0,2,96,9.0
2019,19W,ECON,10.0,2,102,9.0
2019,19S,ECON,10.0,2,116,9.0
2019,19F,ECON,10.0,2,116,10.0
2020,20W,ECON,10.0,2,94,10.0
2017,17S,ECON,15.0,1,20,12.0
2018,18S,ECON,15.0,1,31,12.0
2019,19S,ECON,15.0,1,19,10.0
2020,20W,ECON,15.0,1,25,11.0
2018,18S,ECON,16.0,1,23,12.0
2019,19S,ECON,16.0,1,23,11.0
2018,18W,ECON,17.0,1,13,11.0
2011,11W,ECON,20.0,2,144,9.0
2011,11S,ECON,20.0,2,86,10.0
2011,11X,ECON,20.0,2,116,9.0
2011,11F,ECON,20.0,3,120,9.0
2012,12W,ECON,20.0,2,134,9.0
2012,12S,ECON,20.0,2,114,10.0
2012,12X,ECON,20.0,2,106,10.0
2012,12F,ECON,20.0,3,106,9.5
2013,13W,ECON,20.0,2,124,10.0
2013,13S,ECON,20.0,2,110,9.0
2013,13X,ECON,20.0,2,124,10.0
2013,13F,ECON,20.0,3,137,9.333333333333334
2014,14W,ECON,20.0,2,94,10.0
2014,14S,ECON,20.0,2,92,9.5
2014,14X,ECON,20.0,2,130,9.0
2014,14F,ECON,20.0,3,92,9.833333333333334
2015,15W,ECON,20.0,2,120,9.5
2015,15S,ECON,20.0,2,124,9.0
2015,15X,ECON,20.0,2,132,10.0
2015,15F,ECON,20.0,2,120,10.0
2016,16W,ECON,20.0,2,104,9.0
2016,16S,ECON,20.0,2,100,10.0
2016,16X,ECON,20.0,2,146,9.0
2016,16F,ECON,20.0,2,130,9.0
2017,17W,ECON,20.0,2,94,9.0
2017,17S,ECON,20.0,2,80,10.0
2017,17X,ECON,20.0,2,114,9.0
2017,17F,ECON,20.0,2,130,9.0
2018,18W,ECON,20.0,2,112,9.0
2018,18S,ECON,20.0,2,100,10.0
2018,18X,ECON,20.0,2,126,10.0
2018,18F,ECON,20.0,2,116,9.0
2019,19W,ECON,20.0,2,128,9.0
2019,19S,ECON,20.0,2,116,9.0
2019,19X,ECON,20.0,2,146,10.0
2019,19F,ECON,20.0,3,171,9.0
2020,20W,ECON,20.0,2,122,10.0
2011,11W,ECON,21.0,2,98,10.0
2011,11S,ECON,21.0,5,280,9.8
2011,11F,ECON,21.0,4,200,10.0
2012,12W,ECON,21.0,4,194,10.0
2012,12S,ECON,21.0,5,281,10.2
2012,12F,ECON,21.0,4,150,10.5
2013,13W,ECON,21.0,4,156,10.5
2013,13S,ECON,21.0,4,180,10.0
2013,13F,ECON,21.0,4,198,9.5
2014,14W,ECON,21.0,4,150,9.5
2014,14S,ECON,21.0,2,128,10.0
2014,14F,ECON,21.0,4,176,10.25
2015,15W,ECON,21.0,4,258,10.0
2015,15S,ECON,21.0,4,204,9.5
2015,15X,ECON,21.0,2,38,10.0
2015,15F,ECON,21.0,4,206,10.0
2016,16W,ECON,21.0,2,80,9.0
2016,16S,ECON,21.0,4,192,9.25
2016,16X,ECON,21.0,2,84,10.0
2016,16F,ECON,21.0,4,178,10.5
2017,17W,ECON,21.0,2,106,9.0
2017,17S,ECON,21.0,4,222,10.0
2017,17X,ECON,21.0,1,26,9.0
2017,17F,ECON,21.0,4,174,9.5
2018,18W,ECON,21.0,2,92,10.5
2018,18S,ECON,21.0,4,158,9.0
2018,18X,ECON,21.0,2,66,10.0
2018,18F,ECON,21.0,4,188,10.25
2019,19W,ECON,21.0,2,134,10.0
2019,19S,ECON,21.0,2,114,9.0
2019,19X,ECON,21.0,2,74,11.0
2019,19F,ECON,21.0,4,170,10.5
2020,20W,ECON,21.0,1,29,9.0
2011,11W,ECON,22.0,4,260,10.0
2011,11S,ECON,22.0,3,173,10.0
2011,11X,ECON,22.0,2,90,10.0
2011,11F,ECON,22.0,4,240,9.5
2012,12W,ECON,22.0,3,149,9.666666666666666
2012,12S,ECON,22.0,2,88,10.0
2012,12F,ECON,22.0,4,240,10.0
2013,13W,ECON,22.0,5,200,9.9
2013,13S,ECON,22.0,4,236,10.0
2013,13X,ECON,22.0,2,70,10.0
2013,13F,ECON,22.0,4,230,9.5
2014,14W,ECON,22.0,3,164,9.666666666666666
2014,14S,ECON,22.0,4,236,9.5
2014,14X,ECON,22.0,2,74,10.0
2014,14F,ECON,22.0,4,220,9.5
2015,15W,ECON,22.0,4,148,10.5
2015,15S,ECON,22.0,4,192,9.5
2015,15X,ECON,22.0,2,44,8.5
2015,15F,ECON,22.0,4,222,10.0
2016,16W,ECON,22.0,4,178,10.0
2016,16S,ECON,22.0,4,182,10.0
2016,16F,ECON,22.0,4,218,9.5
2017,17W,ECON,22.0,4,230,10.0
2017,17S,ECON,22.0,4,176,10.0
2017,17F,ECON,22.0,4,184,9.5
2018,18W,ECON,22.0,2,57,10.5
2018,18S,ECON,22.0,4,260,10.0
2018,18F,ECON,22.0,2,124,9.5
2019,19W,ECON,22.0,4,168,10.0
2019,19S,ECON,22.0,4,212,10.0
2019,19F,ECON,22.0,2,102,11.0
2020,20W,ECON,22.0,4,230,10.25
2011,11S,ECON,24.0,2,102,10.0
2011,11F,ECON,24.0,2,114,10.0
2012,12S,ECON,24.0,2,132,10.0
2012,12F,ECON,24.0,2,118,10.0
2013,13S,ECON,24.0,2,118,10.0
2013,13F,ECON,24.0,2,130,10.0
2014,14S,ECON,24.0,2,118,11.0
2014,14F,ECON,24.0,2,136,10.0
2015,15S,ECON,24.0,2,144,10.5
2015,15F,ECON,24.0,2,114,11.0
2016,16W,ECON,24.0,2,82,10.0
2016,16S,ECON,24.0,2,104,10.0
2016,16F,ECON,24.0,2,108,10.0
2017,17S,ECON,24.0,2,118,10.0
2017,17F,ECON,24.0,2,88,10.0
2018,18W,ECON,24.0,2,46,10.0
2018,18S,ECON,24.0,2,128,10.0
2018,18F,ECON,24.0,2,104,10.0
2019,19W,ECON,24.0,2,36,11.0
2019,19S,ECON,24.0,2,106,10.0
2019,19F,ECON,24.0,2,66,11.0
2011,11W,ECON,25.0,2,100,9.0
2012,12W,ECON,25.0,2,118,9.0
2013,13W,ECON,25.0,2,122,10.0
2014,14W,ECON,25.0,2,114,10.0
2015,15W,ECON,25.0,2,98,10.0
2016,16W,ECON,25.0,2,76,10.0
2017,17W,ECON,25.0,2,92,10.5
2018,18W,ECON,25.0,2,70,12.0
2019,19W,ECON,25.0,2,126,11.0
2019,19F,ECON,25.0,2,140,11.0
2011,11W,ECON,26.0,2,82,10.0
2011,11S,ECON,26.0,2,56,10.0
2011,11X,ECON,26.0,2,124,11.5
2011,11F,ECON,26.0,2,80,11.0
2012,12W,ECON,26.0,2,72,10.0
2012,12S,ECON,26.0,2,112,11.0
2012,12X,ECON,26.0,2,122,10.0
2012,12F,ECON,26.0,2,52,10.0
2013,13W,ECON,26.0,2,82,11.0
2013,13S,ECON,26.0,2,60,10.0
2013,13X,ECON,26.0,2,140,10.0
2013,13F,ECON,26.0,2,84,10.0
2014,14W,ECON,26.0,2,100,10.5
2014,14S,ECON,26.0,2,74,10.0
2014,14X,ECON,26.0,2,120,10.0
2014,14F,ECON,26.0,2,56,10.5
2015,15W,ECON,26.0,2,54,10.0
2015,15S,ECON,26.0,2,60,10.0
2015,15X,ECON,26.0,2,126,10.0
2015,15F,ECON,26.0,2,60,10.0
2016,16W,ECON,26.0,2,74,11.0
2016,16S,ECON,26.0,2,62,10.0
2016,16X,ECON,26.0,2,80,11.0
2016,16F,ECON,26.0,2,106,10.0
2017,17W,ECON,26.0,2,72,11.0
2017,17S,ECON,26.0,2,70,10.0
2017,17X,ECON,26.0,2,80,10.5
2017,17F,ECON,26.0,2,36,11.0
2018,18W,ECON,26.0,2,78,12.0
2018,18S,ECON,26.0,2,42,11.0
2018,18X,ECON,26.0,2,76,11.0
2018,18F,ECON,26.0,2,62,11.0
2019,19W,ECON,26.0,2,106,11.0
2019,19S,ECON,26.0,2,60,10.0
2019,19X,ECON,26.0,2,86,11.0
2019,19F,ECON,26.0,2,54,10.0
2020,20W,ECON,26.0,2,108,11.0
2011,11S,ECON,27.0,1,36,10.0
2011,11F,ECON,27.0,1,17,10.0
2012,12F,ECON,27.0,1,34,10.0
2013,13F,ECON,27.0,1,29,10.0
2014,14F,ECON,27.0,1,33,10.0
2015,15F,ECON,27.0,2,110,10.0
2016,16F,ECON,27.0,2,112,10.0
2017,17F,ECON,27.0,2,100,10.0
2018,18F,ECON,27.0,2,108,10.0
2019,19F,ECON,27.0,2,132,10.0
2011,11F,ECON,28.0,2,58,10.0
2012,12S,ECON,28.0,2,126,10.0
2012,12F,ECON,28.0,2,80,10.0
2013,13W,ECON,28.0,1,29,11.0
2013,13S,ECON,28.0,1,23,10.0
2013,13F,ECON,28.0,2,50,10.0
2014,14W,ECON,28.0,1,37,10.0
2014,14S,ECON,28.0,1,35,10.0
2014,14F,ECON,28.0,2,60,10.0
2015,15W,ECON,28.0,1,31,10.0
2015,15S,ECON,28.0,1,35,10.0
2015,15F,ECON,28.0,2,62,10.0
2016,16W,ECON,28.0,1,24,10.0
2016,16F,ECON,28.0,2,78,10.0
2017,17W,ECON,28.0,1,23,10.0
2017,17F,ECON,28.0,2,38,10.0
2018,18W,ECON,28.0,1,15,10.0
2018,18F,ECON,28.0,2,38,10.0
2019,19S,ECON,28.0,1,33,10.0
2019,19F,ECON,28.0,2,26,11.0
2011,11W,ECON,29.0,1,39,10.0
2011,11S,ECON,29.0,2,104,9.0
2011,11F,ECON,29.0,2,98,10.0
2012,12W,ECON,29.0,1,37,10.0
2012,12S,ECON,29.0,2,118,11.0
2012,12F,ECON,29.0,2,138,10.0
2013,13W,ECON,29.0,2,144,10.0
2013,13S,ECON,29.0,2,120,12.0
2013,13F,ECON,29.0,2,130,10.0
2014,14W,ECON,29.0,2,122,10.0
2014,14S,ECON,29.0,2,132,11.0
2014,14F,ECON,29.0,2,130,10.0
2015,15W,ECON,29.0,2,86,10.0
2015,15S,ECON,29.0,2,136,10.0
2015,15F,ECON,29.0,2,120,10.0
2016,16W,ECON,29.0,2,90,10.0
2016,16S,ECON,29.0,2,118,10.0
2016,16F,ECON,29.0,2,92,11.0
2017,17W,ECON,29.0,2,96,10.0
2017,17S,ECON,29.0,2,102,10.0
2017,17F,ECON,29.0,1,33,10.0
2018,18W,ECON,29.0,2,74,11.0
2018,18S,ECON,29.0,3,186,10.0
2018,18F,ECON,29.0,1,34,10.0
2019,19W,ECON,29.0,2,92,10.0
2019,19S,ECON,29.0,2,78,10.0
2019,19F,ECON,29.0,2,58,10.0
2020,20W,ECON,29.0,2,68,10.0
2017,17W,ECON,32.0,2,48,11.0
2018,18W,ECON,32.0,2,46,11.0
2018,18F,ECON,32.0,2,94,10.0
2019,19F,ECON,32.0,2,60,10.0
2016,16F,ECON,35.0,2,72,10.0
2017,17F,ECON,35.0,2,110,10.0
2018,18F,ECON,35.0,2,108,10.0
2020,20W,ECON,35.0,2,118,10.0
2011,11W,ECON,36.0,2,96,10.0
2011,11S,ECON,36.0,2,66,11.0
2011,11F,ECON,36.0,2,102,10.0
2012,12W,ECON,36.0,2,88,11.0
2012,12S,ECON,36.0,2,52,10.0
2012,12F,ECON,36.0,2,144,10.0
2013,13W,ECON,36.0,2,52,10.0
2013,13S,ECON,36.0,2,106,10.0
2013,13F,ECON,36.0,2,62,10.0
2014,14W,ECON,36.0,2,84,11.0
2014,14S,ECON,36.0,2,142,10.0
2014,14F,ECON,36.0,2,108,11.0
2015,15W,ECON,36.0,2,66,10.0
2015,15S,ECON,36.0,2,102,10.0
2015,15F,ECON,36.0,2,88,11.0
2016,16W,ECON,36.0,2,48,11.0
2016,16S,ECON,36.0,2,102,11.0
2016,16F,ECON,36.0,2,76,11.0
2017,17W,ECON,36.0,2,52,11.0
2017,17S,ECON,36.0,2,116,10.0
2017,17F,ECON,36.0,1,36,10.0
2018,18W,ECON,36.0,2,52,11.0
2018,18S,ECON,36.0,2,120,10.0
2018,18F,ECON,36.0,2,64,11.0
2019,19W,ECON,36.0,2,40,11.0
2019,19F,ECON,36.0,2,49,11.0
2020,20W,ECON,36.0,2,54,12.0
2011,11S,ECON,38.0,1,35,10.0
2011,11F,ECON,38.0,1,27,10.0
2012,12S,ECON,38.0,1,36,10.0
2012,12F,ECON,38.0,1,19,10.0
2013,13S,ECON,38.0,1,26,10.0
2013,13F,ECON,38.0,1,16,10.0
2014,14S,ECON,38.0,1,34,10.0
2014,14F,ECON,38.0,1,30,10.0
2015,15S,ECON,38.0,1,34,10.0
2015,15F,ECON,38.0,1,31,10.0
2016,16S,ECON,38.0,1,38,10.0
2016,16F,ECON,38.0,1,16,10.0
2017,17S,ECON,38.0,1,35,10.0
2017,17F,ECON,38.0,1,15,10.0
2018,18S,ECON,38.0,1,34,10.0
2018,18F,ECON,38.0,1,20,10.0
2019,19S,ECON,38.0,1,35,11.0
2011,11W,ECON,39.0,2,146,10.0
2011,11S,ECON,39.0,2,138,10.0
2011,11F,ECON,39.0,2,72,10.0
2012,12W,ECON,39.0,2,130,10.0
2012,12S,ECON,39.0,2,132,11.0
2012,12F,ECON,39.0,2,96,10.0
2013,13W,ECON,39.0,2,134,11.0
2013,13S,ECON,39.0,2,136,11.0
2013,13F,ECON,39.0,2,138,10.0
2014,14W,ECON,39.0,2,102,10.0
2014,14S,ECON,39.0,2,108,10.0
2014,14F,ECON,39.0,2,126,11.0
2015,15W,ECON,39.0,2,84,10.0
2015,15S,ECON,39.0,2,128,10.0
2015,15F,ECON,39.0,2,108,11.0
2016,16W,ECON,39.0,2,136,10.0
2016,16S,ECON,39.0,2,120,10.0
2016,16F,ECON,39.0,2,132,11.0
2017,17W,ECON,39.0,2,58,10.0
2017,17S,ECON,39.0,2,108,11.0
2017,17F,ECON,39.0,2,142,11.0
2018,18W,ECON,39.0,2,38,10.0
2018,18S,ECON,39.0,2,68,10.0
2018,18F,ECON,39.0,2,126,11.0
2019,19S,ECON,39.0,2,124,10.5
2019,19F,ECON,39.0,2,84,11.0
2020,20W,ECON,39.0,2,44,10.0
2011,11W,ECON,44.0,2,40,11.0
2012,12W,ECON,44.0,2,42,11.0
2013,13W,ECON,44.0,2,44,11.0
2014,14W,ECON,44.0,2,56,11.0
2015,15W,ECON,44.0,2,46,11.0
2016,16W,ECON,44.0,2,62,10.0
2017,17W,ECON,44.0,2,48,11.0
2018,18W,ECON,44.0,3,81,10.0
2019,19W,ECON,44.0,2,50,11.0
2020,20W,ECON,44.0,2,40,11.0
2012,12S,ECON,45.0,2,26,11.0
2013,13S,ECON,45.0,2,32,11.0
2014,14S,ECON,45.0,2,48,11.0
2015,15S,ECON,45.0,2,28,11.0
2016,16S,ECON,45.0,2,42,11.0
2017,17S,ECON,45.0,2,42,11.0
2018,18S,ECON,45.0,2,54,11.0
2019,19S,ECON,45.0,2,48,11.0
2011,11W,ECON,46.0,2,46,11.0
2011,11S,ECON,46.0,5,176,11.0
2012,12W,ECON,46.0,2,56,11.0
2012,12S,ECON,46.0,5,208,11.0
2013,13W,ECON,46.0,2,56,11.0
2013,13S,ECON,46.0,5,174,11.0
2014,14W,ECON,46.0,3,75,11.0
2014,14S,ECON,46.0,4,164,11.25
2015,15W,ECON,46.0,3,81,11.0
2015,15S,ECON,46.0,3,150,11.0
2016,16W,ECON,46.0,3,108,11.0
2016,16S,ECON,46.0,4,108,11.0
2017,17W,ECON,46.0,3,105,11.0
2017,17S,ECON,46.0,2,64,11.0
2018,18W,ECON,46.0,3,138,11.0
2018,18S,ECON,46.0,3,135,11.0
2019,19W,ECON,46.0,3,123,11.0
2019,19S,ECON,46.0,3,99,11.0
2020,20W,ECON,46.0,3,129,11.0
2012,12S,ECON,47.0,1,11,11.0
2020,20W,ECON,47.0,1,13,11.0
2011,11W,ECON,48.0,2,42,10.0
2012,12W,ECON,48.0,2,38,11.0
2013,13W,ECON,48.0,2,52,11.0
2014,14W,ECON,48.0,2,26,12.0
2015,15W,ECON,48.0,2,52,11.0
2016,16W,ECON,48.0,2,42,11.0
2017,17W,ECON,48.0,2,62,11.0
2018,18W,ECON,48.0,2,28,11.0
2019,19W,ECON,48.0,2,30,11.0
2020,20W,ECON,48.0,1,15,11.0
2011,11W,ECON,49.0,2,52,10.0
2011,11S,ECON,49.0,2,32,10.0
2012,12W,ECON,49.0,2,40,10.5
2012,12S,ECON,49.0,2,48,10.0
2013,13W,ECON,49.0,1,17,10.0
2013,13S,ECON,49.0,2,58,11.0
2014,14W,ECON,49.0,2,48,11.0
2014,14S,ECON,49.0,1,18,11.0
2015,15W,ECON,49.0,2,62,11.0
2015,15S,ECON,49.0,2,58,11.0
2016,16W,ECON,49.0,2,40,11.0
2016,16S,ECON,49.0,3,105,11.0
2017,17W,ECON,49.0,2,52,11.0
2017,17S,ECON,49.0,4,84,11.0
2018,18W,ECON,49.0,2,52,10.5
2018,18S,ECON,49.0,2,48,10.5
2019,19W,ECON,49.0,2,22,11.0
2019,19S,ECON,49.0,2,40,11.0
2020,20W,ECON,49.0,2,34,11.0
2015,15F,ECON,70.0,2,34,12.0
2016,16F,ECON,70.0,2,33,11.75
2016,16W,ECON,71.0,1,18,10.5
